# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak0	PDZD8 (+33125), SLC18A2 (+101249)
peak5332	ETS2 (+153901), PSMG1 (+224643)
peak5333	FNBP1 (+86183), USP20 (+121509)
peak5334	TNS3 (-355306), PKD1L1 (+11041)
peak5335	KIF13B (+31596), HMBOX1 (+267614)
peak5336	FAM49B (-317488), ASAP1 (+186340)
peak5337	PRSS54 (-49693), GINS3 (-47654)
peak5338	SMARCA2 (-531232), DMRT2 (+440359)
peak5339	MFSD10 (-20073), NOP14 (+8854)
peak5340	SESN1 (+122730), ARMC2 (+123667)
peak5341	KIT (-273121), PDGFRA (+155700)
peak5342	TBL1XR1 (-223788)
peak5343	RRM1 (-172591), STIM1 (+66515)
peak5344	INPP4A (+70504), COA5 (+93130)
peak5345	SPOCD1 (-75427), PTP4A2 (+28005)
peak5346	SAMD4A (+60545), GCH1 (+274695)
peak5347	EHD4 (-62979), PLA2G4E (+15633)
peak5348	SNX3 (-26306), AFG1L (-7328)
peak5349	RETNLB (+28291), DZIP3 (+139411)
peak5350	ITPR2 (-35626), INTS13 (+69497)
peak5351	SP5 (-205316), MYO3B (+331890)
peak5352	B3GALT2 (-330373)
peak5353	KMT2B (-6501), ZBTB32 (+6991)
peak5354	ASIC2 (-908915), CCL2 (-53382)
peak5355	RAPGEF2 (-401987), FNIP2 (+96612)
peak5356	TSPAN14 (+75589)
peak5357	PLB1 (-72009), FOSL2 (+31204)
peak5358	STXBP5 (-416216), ADGB (+189352)
peak5359	MET (-72)
peak5360	PPP2R5A (-160156), DTL (+89804)
peak5361	TLE3 (-377019), UACA (+288398)
peak5362	IQGAP2 (-103491), SV2C (+216586)
peak5363	SENP2 (+39885), IGF2BP2 (+198953)
peak5364	NEDD1 (-411435), CFAP54 (+6444)
peak5365	ZNF521 (-601789), SS18 (+136684)
peak5366	KLF2 (+14397), EPS15L1 (+132798)
peak5367	FARS2 (+12503), NRN1 (+730497)
peak5368	PON2 (-3302)
peak5369	LOXL2 (+22681), R3HCC1 (+93651)
peak5370	ARRDC3 (+373163), ADGRV1 (+451399)
peak5371	LMO4 (-250187), HS2ST1 (+163607)
peak5372	ANGEL2 (+25429), VASH2 (+38854)
peak5373	STK17A (-268553), HECW1 (+201913)
peak5374	TMPO (-366195)
peak5375	ZMIZ1 (-87494), RPS24 (+947781)
peak5376	TGFBR2 (+60712), GADL1 (+227452)
peak5377	IZUMO1R (-170252), PANX1 (+6412)
peak5378	LMCD1 (+23499), SSUH2 (+119592)
peak5379	CDC42EP3 (+47971), QPCT (+279646)
peak5380	SNX9 (-265605), ZDHHC14 (+176526)
peak5381	ODF1 (+5716), KLF10 (+98614)
peak5382	ENSG00000214654 (+22254), PSMD5 (+24310)
peak5383	CD96 (-331898), NECTIN3 (+138477)
peak5384	BBS10 (-114607), OSBPL8 (+96760)
peak5385	SLAIN1 (+16726), EDNRB (+205188)
peak5386	SAMSN1 (-318106), NRIP1 (+163492)
peak5387	GPX2 (+7167), CHURC1-FNTB (+21153)
peak5388	IFNW1 (-2694)
peak5389	PLCL2 (+204157), TBC1D5 (+610904)
peak5390	TMED10 (-56194), FOS (-45949)
peak5391	GATA2 (-102429), RPN1 (+55235)
peak5392	FGF18 (-232)
peak5393	STIM2 (+23965)
peak5394	DSTN (+40853), RRBP1 (+71567)
peak5395	KCTD12 (-234)
peak5396	PTGIS (-15665), B4GALT5 (+130067)
peak5397	SMAD2 (-202904), ZBTB7C (+32103)
peak5398	PTPRZ1 (-328100), FAM3C (-148655)
peak5399	ZNF710 (+33081), IDH2 (+68031)
peak5400	CDYL2 (+44719), DYNLRB2 (+218876)
peak5401	ETNK1 (-73275), C2CD5 (-7308)
peak5402	SKAP1 (+23083), SNX11 (+299549)
peak5403	ZNF436 (-32948), TCEA3 (+22350)
peak5404	HS3ST1 (-47670)
peak5405	PROK2 (-641738), RYBP (+19822)
peak5406	GGT5 (+2104), SUSD2 (+61696)
peak5407	AHSA2 (+61708), USP34 (+231532)
peak5408	RLBP1 (+53955), ABHD2 (+79646)
peak5409	FABP5 (-91638), PAG1 (-76657)
peak5410	PRRC2B (-46451), PLPP7 (+93945)
peak5411	CCDC12 (-159321), SETD2 (+22636)
peak5412	ID2 (-90161)
peak5413	MTFR2 (+198999), PDE7B (+199616)
peak5414	BHLHE22 (-699736), YTHDF3 (+711970)
peak5415	AKAP13 (+90154), KLHL25 (+324147)
peak5416	ARL4C (-383583), SH3BP4 (-98502)
peak5417	GPHN (-557057), FUT8 (+539758)
peak5418	NR5A2 (+118751), ZNF281 (+263703)
peak5419	ARHGAP26 (+207411), NR3C1 (+425894)
peak5420	SLC35D1 (-105322), IL23R (-6979)
peak5421	TBC1D4 (-8011), COMMD6 (+47716)
peak5422	PLPP5 (-88172), NSD3 (+24880)
peak5423	IGSF22 (-37841), PTPN5 (+27821)
peak5424	EDDM3A (-53570), ANG (+8145)
peak5425	BIN1 (+67526), TEX51 (+140914)
peak5426	C2CD4B (+42815), C2CD4A (+55491)
peak5427	MALSU1 (+74101), IGF2BP3 (+97166)
peak5428	MCHR1 (-100303), MKL1 (-44567)
peak5429	FURIN (-63258), BLM (+92293)
peak5430	NMB (-10711), SEC11A (+46815)
peak5431	SLAIN1 (+39980), EDNRB (+181934)
peak5432	RIC1 (-20174), PDCD1LG2 (+98375)
peak5433	ISLR (-14561), ISLR2 (+29736)
peak5434	TRIB1 (-254732), NSMCE2 (+83736)
peak5435	DDC (-29976), GRB10 (+136920)
peak5436	CD40LG (+25489), ARHGEF6 (+108406)
peak5437	KIAA1024 (-349)
peak5438	DPYD (-478371), SNX7 (-262329)
peak5439	GLMN (-111891), GFI1 (+73087)
peak5440	SERPINB1 (-24677), SERPINB9 (+36597)
peak5441	HMGB1 (-106976), USPL1 (-44842)
peak5442	TNRC6C (-544796), SEPT9 (+178850)
peak5443	NTPCR (+147043), PCNX2 (+198046)
peak5444	FCHO2 (-120084), TNPO1 (+19585)
peak5445	SOCS6 (+15646)
peak5446	FOSL2 (-414699), RBKS (-87061)
peak5447	HS3ST3A1 (-440694), COX10 (-26908)
peak5448	PCSK1 (-132807), CAST (-96150)
peak5449	DIO2 (+932113)
peak5450	ITGA2 (-190549), PELO (+10837)
peak5451	AKAP13 (-122846), PDE8A (+277443)
peak5452	GALNT10 (-8759), MFAP3 (+142978)
peak5453	TWIST1 (+425)
peak5454	MAF (+592526), WWOX (+908775)
peak5455	SNAP25 (-556)
peak5456	TNIK (-31193), PLD1 (+318893)
peak5457	ST3GAL1 (-694402), ZFAT (+446711)
peak5458	GPR183 (-157365), TM9SF2 (-36647)
peak5459	LDLRAD4 (-279293), CEP192 (+7448)
peak5460	TSPAN5 (+175558), RAP1GDS1 (+221553)
peak5461	DOK1 (+23452), M1AP (+70499)
peak5462	GADD45G (+347503), DIRAS2 (+690589)
peak5463	SLC4A7 (-106330), EOMES (+131635)
peak5464	RGS10 (+46209), GRK5 (+288910)
peak5465	MED9 (-60224), NT5M (+113427)
peak5466	MAT2B (+411037)
peak5467	BCL9 (+3873), ACP6 (+125211)
peak5468	CPM (+44777), MDM2 (+80246)
peak5469	NPFF (-54120), ENSG00000267281 (+64221)
peak5470	MAN1A1 (-19463)
peak5471	SLC30A5 (-777544), PIK3R1 (+100382)
peak5472	PPM1H (-93)
peak5473	RSAD2 (+26)
peak5474	PDE7A (+90804), MTFR1 (+106409)
peak5475	TSPAN13 (-44361), BZW2 (+63040)
peak5476	SNX9 (-18413), ZDHHC14 (+423718)
peak5477	CDCA7 (-254884), MAP3K20 (+24018)
peak5478	RBM26 (-60873), NDFIP2 (-14030)
peak5479	NPR2 (+6766), SPAG8 (+13352)
peak5480	ZBTB2 (-49116), RMND1 (+11460)
peak5481	SLC12A3 (-75615), NUP93 (+59487)
peak5482	TAT (-31350), MARVELD3 (-17707)
peak5483	VAPB (+12217), APCDD1L (+113599)
peak5484	BRD1 (+16699)
peak5485	LGALS9 (-84980), KSR1 (+72808)
peak5486	TBX19 (+82325), XCL2 (+180632)
peak5487	LRRC17 (-98682), FAM185A (+65101)
peak5488	HPGD (-159083), GLRA3 (+147333)
peak5489	RNF24 (+5214), PANK2 (+80078)
peak5490	RBBP7 (+26394), TXLNG (+57065)
peak5491	DMBX1 (-84327), FAAH (+28405)
peak5492	PDE4D (+408651), RAB3C (+902107)
peak5493	GPR65 (+158944), KCNK10 (+159181)
peak5494	RASGEF1A (-124650), FXYD4 (-17255)
peak5495	CERS5 (-75647), LIMA1 (+40437)
peak5496	SAP25 (+16851), AGFG2 (+17532)
peak5497	CDK5RAP2 (+141773)
peak5498	LMX1A (-67774), RXRG (+20707)
peak5499	PTPRE (+61061), MKI67 (+158263)
peak5500	MSGN1 (-17057), GEN1 (+45581)
peak5501	GLMN (-58124), GFI1 (+126854)
peak5502	RHEB (-207948), PRKAG2 (+149253)
peak5503	CYP7B1 (-100176), ARMC1 (+735270)
peak5504	DAAM1 (+14421), GPR135 (+187466)
peak5505	SMIM15 (-118863), ZSWIM6 (-50936)
peak5506	SELENON (-167869), MAN1C1 (+14839)
peak5507	PLXNC1 (+114348), CEP83 (+196881)
peak5508	SOCS3 (+16266), TMEM235 (+112501)
peak5509	ERO1A (+42)
peak5510	NOX3 (-172504)
peak5511	TNFSF8 (-105895), TNC (+81945)
peak5512	TIPARP (+192579), CCNL1 (+292789)
peak5513	CHAC2 (-726818)
peak5514	FTO (+161638), IRX3 (+421162)
peak5515	SOD2 (+225445), FNDC1 (+298486)
peak5516	OLIG1 (-26547), OLIG2 (+17662)
peak5517	SENP7 (-30016), TRMT10C (-18662)
peak5518	DSCR3 (+29530), TTC3 (+156406)
peak5519	CORO6 (-182607), SSH2 (+124587)
peak5520	MYBL1 (+64362), ADHFE1 (+116401)
peak5521	RAP2A (-195125), MBNL2 (+16801)
peak5522	HNRNPLL (-41016), GALM (-21928)
peak5523	KLF6 (-566693), AKR1E2 (-474286)
peak5524	ENTPD3 (-49228), EIF1B (+28244)
peak5525	TLE3 (-364935), UACA (+300482)
peak5526	MORN3 (+12207), ORAI1 (+30897)
peak5527	ST7 (+2680), WNT2 (+367282)
peak5528	HLF (+76689), MMD (+80291)
peak5529	TNS4 (+20942), IGFBP4 (+37194)
peak5530	LGR4 (+84497), BBOX1 (+347287)
peak5531	ZNF217 (-450612), BCAS1 (+26143)
peak5532	DPYS (-108618), LRP12 (+13335)
peak5533	DAPL1 (-288026), PKP4 (+50179)
peak5534	STAU2 (+41920), RDH10 (+410405)
peak5535	TP63 (-342996), TPRG1 (+116457)
peak5536	LYPLAL1 (+151464), ZC3H11B (+287837)
peak5537	NOVA2 (-551)
peak5538	PANX1 (+523)
peak5539	SPATA6 (-104730), BEND5 (+200015)
peak5540	LAS1L (-67002), MSN (-65912)
peak5541	ARID5B (+60131), RTKN2 (+307276)
peak5542	MLANA (+31615), RANBP6 (+93201)
peak5543	ZDHHC22 (+20182), ENSG00000259164 (+23298)
peak5544	TRIM5 (-4710), TRIM22 (+84)
peak5545	NSMCE1 (+3473), KDM8 (+61346)
peak5546	TRAM2 (+59233), EFHC1 (+97486)
peak5547	LRRN3 (-86328)
peak5548	PI16 (-28416), C6orf89 (+40153)
peak5549	LGR5 (-431818), PTPRR (-87109)
peak5550	TRPM6 (+40487), RORB (+350242)
peak5551	GPR83 (-58342), ANKRD49 (-33868)
peak5552	SSX2IP (-52361), LPAR3 (+123253)
peak5553	HRH2 (-4703)
peak5554	GTF3A (-12988), RASL11A (+141229)
peak5555	P2RY14 (-29832), GPR87 (+8653)
peak5556	OAZ2 (+88415), ZNF609 (+115574)
peak5557	LRBA (+53021), MAB21L2 (+380554)
peak5558	LCT (-33453), MCM6 (+5793)
peak5559	EPS15 (-50252), OSBPL9 (-47512)
peak5560	RALY (-134273), CHMP4B (+48145)
peak5561	ATP8B4 (+67212), FGF7 (+628914)
peak5562	TMED10 (-53721), FOS (-48422)
peak5563	ID2 (-628500)
peak5564	BCL2 (+241586), PHLPP1 (+363092)
peak5565	RAPGEF2 (-361503), FNIP2 (+137096)
peak5566	TMEM38B (+164457)
peak5567	CITED2 (-391897)
peak5568	THUMPD2 (-168672), SLC8A1 (+564422)
peak5569	GATA3 (+545708)
peak5570	FUT10 (+102013), NRG1 (+822774)
peak5571	EGF (+98093), ELOVL6 (+187669)
peak5572	CXXC4 (-479055), TET2 (-172344)
peak5573	TMEM35A (-21438), TRMT2B (-5199)
peak5574	TMBIM1 (-36498), CATIP (-33509)
peak5575	ERMARD (+172708), DLL1 (+366140)
peak5576	GATA3 (+188091)
peak5577	FBLN2 (+26002), WNT7A (+304988)
peak5578	ITPR2 (+86624), SSPN (+551078)
peak5579	ATXN10 (-62765), FBLN1 (+106143)
peak5580	TNFSF15 (-42053), TNFSF8 (+82238)
peak5581	LNPK (-77775), HOXD10 (-36510), HOXD11 (-27217), HOXD12 (-19661), HOXD13 (-12822), EVX2 (+3844)
peak5582	TESC (-6525), FBXO21 (+84462)
peak5583	MSC (-109066), TRPA1 (+122083)
peak5584	SAMD4A (+60217), GCH1 (+275023)
peak5585	CDK5RAP1 (+28953), BPIFB1 (+89473)
peak5586	ZNF692 (-4456)
peak5587	VWA5B1 (+32330), CAMK2N1 (+162971)
peak5588	CAB39 (-143342), SP100 (+153237)
peak5589	CACYBP (-189706), GPR52 (+361916)
peak5590	NR2E3 (-130670), THSD4 (+582932)
peak5591	MN1 (-73469), PITPNB (+44232)
peak5592	TNFSF15 (+72096), TMEM268 (+122824)
peak5593	ENSG00000261873 (-13098), TMEM100 (+207579)
peak5594	CHST2 (+46506), SLC9A9 (+682694)
peak5595	STX17 (-37594), NR4A3 (+47184)
peak5596	RIMS2 (-56677), SLC25A32 (-28967)
peak5597	ICOS (-42331), CTLA4 (+26631)
peak5598	IRF4 (+118140), HUS1B (+147084)
peak5599	SLC25A41 (-2335)
peak5600	ZNF592 (-23571), SEC11A (-8975)
peak5601	NPIPB11 (+137298), LAT (+281905)
peak5602	MBNL1 (-372360), SUCNR1 (+22037)
peak5603	ZBTB17 (+9689), SPEN (+118579)
peak5604	GAL3ST2 (-4497)
peak5605	CDR2 (+16894), POLR3E (+60314)
peak5606	PTRH2 (-55048), TUBD1 (+130271)
peak5607	GNPDA1 (-61314), NDFIP1 (-34397)
peak5608	HDGFL3 (+49482), TM6SF1 (+51129)
peak5609	NXPE2 (+234564), CADM1 (+591615)
peak5610	HES1 (-90591), OPA1 (+452410)
peak5611	PRKACG (+39328), FAM122A (+194751)
peak5612	CRHR2 (-38341), INMT (-13691)
peak5613	ZFPM2 (-647696), LRP12 (-81990)
peak5614	PSTPIP1 (-12807), RCN2 (+50540)
peak5615	ITGA1 (-50620)
peak5616	WDSUB1 (+76515), TANC1 (+241406)
peak5617	NRDC (+85735), OSBPL9 (+175978)
peak5618	FGGY (-355116), JUN (-157538)
peak5619	ZNF217 (-278988), BCAS1 (+197767)
peak5620	UBE2H (+111322), NRF1 (+211549)
peak5621	DYNLRB2 (+45263), CDYL2 (+218332)
peak5622	PANK3 (-257473), SLIT3 (+463709)
peak5623	USP50 (-107915), TRPM7 (+32201)
peak5624	TMEM14A (-67491), TRAM2 (-26703)
peak5625	RGS2 (-154011), RGS13 (+18892)
peak5626	TCTEX1D1 (-151659), SGIP1 (+66519)
peak5627	STK17B (-415284), HECW2 (+5752)
peak5628	TNFSF11 (-219818), AKAP11 (+82182)
peak5629	MAGI1 (+4644)
peak5630	AHI1 (+124672), MYB (+191758)
peak5631	RIF1 (+71962), NEB (+252584)
peak5632	TGFBR1 (-111340), COL15A1 (+50171)
peak5633	GATB (-697945), FBXW7 (+77133)
peak5634	ACTN4 (+10348), CAPN12 (+86456)
peak5635	MLNR (-5162), FNDC3A (+238567)
peak5636	SORL1 (-78897), SC5D (+80853)
peak5637	DAP3 (+28192), GON4L (+140045)
peak5638	MBNL1 (-197934), SUCNR1 (+196463)
peak5639	GK2 (-599648), ANTXR2 (+64622)
peak5640	PRLR (-545550), IL7R (-80710)
peak5641	SERPIND1 (+7921), PI4KA (+77012)
peak5642	SNX5 (-23457), OVOL2 (+65440)
peak5643	KLF6 (-991097), AKR1E2 (-49882)
peak5644	KLF6 (-991385), AKR1E2 (-49594)
peak5645	RPRD1A (+130491), GALNT1 (+282525)
peak5646	TNNT3 (-18200), LSP1 (+36197)
peak5647	ZNF469 (-187218), BANP (+270235)
peak5648	IL6ST (-734768), MAP3K1 (-85813)
peak5649	CORO6 (-99980), SSH2 (+207214)
peak5650	CTNNB1 (+220063), ULK4 (+542928)
peak5651	KANK1 (-44755), DOCK8 (+245075)
peak5652	EIF3J (+59270), SPG11 (+67337)
peak5653	KHDRBS1 (-84946), PTP4A2 (-9400)
peak5654	CEMIP (+6757), MESD (+203750)
peak5655	PDE6D (+15641), PTMA (+57152)
peak5656	SLC24A2 (-574876), MLLT3 (+260739)
peak5657	SRR (-87920), HIC1 (+159474)
peak5658	ERBB4 (-471386), IKZF2 (+141376)
peak5659	BMP10 (+33299), ARHGAP25 (+103383)
peak5660	STEAP1 (-308155)
peak5661	SSR3 (+35261), KCNAB1 (+399340)
peak5662	QPCT (+45210), CDC42EP3 (+282407)
peak5663	CRISPLD2 (-8872), USP10 (+111108)
peak5664	AMN (-103263), TRAF3 (+41917)
peak5665	MAP1LC3A (+33597), PIGU (+96634)
peak5666	ANP32A (+23036), CORO2B (+218890)
peak5667	CENPO (-270943), NCOA1 (+30270)
peak5668	SYNE2 (+47224), ESR2 (+394153)
peak5669	TRIB1 (+82987)
peak5670	RBPJ (-140278), SMIM20 (+265228)
peak5671	EDEM3 (-128170), FAM129A (+91467)
peak5672	CEP95 (+66827), SMURF2 (+88653)
peak5673	GDPD4 (-144563), PAK1 (+42079)
peak5674	FAM184A (-180557), MAN1A1 (+90461)
peak5675	UBAC2 (-182144), DOCK9 (-40640)
peak5676	HSF2 (-710943), GJA1 (+252911)
peak5677	ST7 (-14488), CAPZA2 (+76366)
peak5678	MAP3K4 (+84687), AGPAT4 (+197590)
peak5679	PREP (-393233), PRDM1 (-290003)
peak5680	KCNK12 (+62087), MSH2 (+105883)
peak5681	COMMD5 (-25128), ZNF250 (+22597)
peak5682	SUMO4 (-64118), TAB2 (+15057)
peak5683	CCT5 (+8193), CMBL (+49912)
peak5684	ENSG00000264545 (+63874), CDKN2A (+108356)
peak5685	RGS2 (-169166), RGS13 (+3737)
peak5686	POPDC2 (+20762), PLA1A (+41986)
peak5687	PIGY (-2021), PYURF (+3)
peak5688	MYH9 (-17913), TXN2 (+76099)
peak5689	NAP1L5 (-357039), FAM13A (+1898)
peak5690	ETV7 (+50683), PNPLA1 (+66640)
peak5691	OLFML3 (-31898), HIPK1 (+17835)
peak5692	STRIP2 (-50495), AHCYL2 (+158915)
peak5693	SNAI1 (+20484), UBE2V1 (+112471)
peak5694	CAMK2D (+124548), ANK2 (+586994)
peak5695	VCPKMT (+77942), ARF6 (+145523)
peak5696	SPATS2L (+29998), KCTD18 (+171115)
peak5697	NPAT (+25463), ACAT1 (+75663)
peak5698	PRRC2C (+8088), MYOC (+159039)
peak5699	LRRFIP2 (+35568), MLH1 (+145664)
peak5700	FOXN3 (-101092), EFCAB11 (+234467)
peak5701	SLC31A2 (+5191), FKBP15 (+65228)
peak5702	SP140L (-72384), SP140 (+29069)
peak5703	IL1RAP (+49437), GMNC (+299076)
peak5704	REEP2 (-30794), KDM3B (+55627)
peak5705	TMEM78 (-444489), RHOU (+70070)
peak5706	POLN (+69783), NAT8L (+112826)
peak5707	RGS2 (-168855), RGS13 (+4048)
peak5708	OTULIN (-507982), TRIO (+13064)
peak5709	ANXA1 (+13525)
peak5710	AKAP12 (-351621), MTHFD1L (+22699)
peak5711	EMCN (-421410), PPP3CA (+407977)
peak5712	ETS1 (+386250)
peak5713	UNC5C (+7178), BMPR1B (+490349)
peak5714	B4GALNT3 (+93314), NINJ2 (+110101)
peak5715	GINS2 (-46422), EMC8 (+64119)
peak5716	SAR1B (+37648), JADE2 (+69683)
peak5717	CCDC126 (-2166)
peak5718	TAB2 (-224983), UST (+348741)
peak5719	ZCCHC2 (-154719), TNFRSF11A (+42973)
peak5720	ARID5B (+160918), RTKN2 (+206489)
peak5721	USE1 (-101720), MYO9B (+37858)
peak5722	C4orf33 (-176349), JADE1 (+107345)
peak5723	ERBIN (-135796), NLN (+68781)
peak5724	SLC31A1 (+11480), CDC26 (+42547)
peak5725	DUSP22 (-39473)
peak5726	NUMBL (+17029), LTBP4 (+76387)
peak5727	FADS3 (-197)
peak5728	RPL30 (+74113), MATN2 (+102318)
peak5729	ELF2 (-7870), MGARP (+132992)
peak5730	SLC35F3 (-242255), KCNK1 (+48674)
peak5731	CHDH (+121129), CACNA1D (+230562)
peak5732	IRF8 (+316)
peak5733	RPL13 (-25928), SPG7 (+26326)
peak5734	C3orf35 (-102993), GOLGA4 (+52917)
peak5735	EML4 (-51121), PKDCC (+70209)
peak5736	TPRG1 (-847248), LPP (+111793)
peak5737	GLS (-186732), NAB1 (+44862)
peak5738	LIF (+79346), HORMAD2 (+87331)
peak5739	SMLR1 (-206969), TMEM200A (+183320)
peak5740	CXCR3 (+17)
peak5741	MNT (-5956), METTL16 (+104812)
peak5742	NLRC5 (-18231), CETP (+9417)
peak5743	PLB1 (-46076), FOSL2 (+57137)
peak5744	ASIC2 (-671625), CCL2 (-290672)
peak5745	SNN (-48731), LITAF (-32120)
peak5746	GHRL (-6919), SEC13 (+21218)
peak5747	SDC4 (-9171), SYS1 (-5433)
peak5748	SEL1L3 (-37667), SMIM20 (-13578)
peak5749	RERE (+39436), SLC45A1 (+460203)
peak5750	YTHDF3 (+57961)
peak5751	MED4 (-119881), ITM2B (-18173)
peak5752	TIPRL (-29805), GPR161 (-11461)
peak5753	NTN1 (+231259), STX8 (+323435)
peak5754	IMPG2 (-69842), SENP7 (+122782)
peak5755	C2orf71 (+72442), WDR43 (+107176)
peak5756	TUBB2A (-52447), TUBB2B (+17762)
peak5757	RFC5 (+18925), WSB2 (+26539)
peak5758	AGK (+39708), KIAA1147 (+111256)
peak5759	HIBADH (-46921), TAX1BP1 (-30273)
peak5760	MYC (+450054)
peak5761	OSBPL3 (-137671), CYCS (+7502)
peak5762	DUSP4 (-92497), SARAF (+640042)
peak5763	SLCO2B1 (-47313), OR2AT4 (-6798)
peak5764	SAMD15 (-126), TMED8 (+102)
peak5765	ARID5A (+50318), KANSL3 (+51242)
peak5766	COL3A1 (+4654), COL5A2 (+200905)
peak5767	ATG10 (+14304), RPS23 (+292248)
peak5768	GNPDA1 (-3944)
peak5769	TFDP1 (+22867), ATP4B (+50578)
peak5770	DAB2 (-852573), PTGER4 (-401755)
peak5771	C16orf70 (-8128), CBFB (+72615)
peak5772	GATA3 (+287937)
peak5773	DNAI1 (+5146), ENHO (+59143)
peak5774	GPR174 (-11061), P2RY10 (+214490)
peak5775	ANK2 (-313812), LARP7 (+98738)
peak5776	CHN1 (-25293), ATF2 (+137687)
peak5777	WDR82 (+7031), PPM1M (+25403)
peak5778	ELK3 (+17769), CDK17 (+188409)
peak5779	LYSMD4 (+25758), MEF2A (+141576)
peak5780	ST3GAL4 (-69567), DCPS (+32463)
peak5781	CLIC6 (+46985), RUNX1 (+332970)
peak5782	ERI1 (+19890), PPP1R3B (+128659)
peak5783	PON3 (-14840), PON2 (+23997)
peak5784	SYNE2 (-92796), SGPP1 (-32148)
peak5785	UNC80 (-74650), MAP2 (+117922)
peak5786	SYVN1 (-24712), SPDYC (-10909)
peak5787	AP4S1 (-141992), COCH (+9100)
peak5788	ZNF827 (+105969), MMAA (+214403)
peak5789	ZBTB10 (-346859), TPD52 (-57992)
peak5790	PPP2R1B (+51373), SIK2 (+112618)
peak5791	TOPORS (-13597), NDUFB6 (+7012)
peak5792	ERMARD (+238775), DLL1 (+300073)
peak5793	CD40LG (-61669), VGLL1 (+54372)
peak5794	CRYBB3 (-137287), TMEM211 (-115868)
peak5795	SMCHD1 (-18586), NDC80 (+65641)
peak5796	PTPDC1 (-2787)
peak5797	STAG1 (+57886), PCCB (+444123)
peak5798	TMEM185B (+13027), EPB41L5 (+197376)
peak5799	ST3GAL5 (-50184), POLR1A (+166916)
peak5800	OR4F16 (-157957), SAMD11 (-81108)
peak5801	PPM1A (+65810), C14orf39 (+174534)
peak5802	STOX1 (-39498), CCAR1 (+66829)
peak5803	DAD1 (+178545), OR4E2 (+756889)
peak5804	ASTE1 (+79774), ATP2C1 (+96417)
peak5805	IVNS1ABP (-373275), HMCN1 (-43947)
peak5806	IGFBPL1 (-122260), CNTNAP3 (+741431)
peak5807	ASXL1 (-24992), KIF3B (+55696)
peak5808	ZNF622 (-1811)
peak5809	PLA2G4A (-125026), PTGS2 (-23500)
peak5810	DAZL (-243513), PLCL2 (-36656)
peak5811	RPS26 (-26000), IKZF4 (+8194)
peak5812	TGM2 (+12862), RPRD1B (+118964)
peak5813	APPL2 (-105847), NUAK1 (+798103)
peak5814	RAB44 (+37403), CPNE5 (+104748)
peak5815	GPR18 (-28105), GPR183 (+17556)
peak5816	PAWR (-157480), PPP1R12A (+86621)
peak5817	ATP6V0E2 (+89122), ACTR3C (+340890)
peak5818	CENPE (-300016), TACR3 (+221391)
peak5819	TMEM163 (+53140), MGAT5 (+545678)
peak5820	RBM20 (-2952)
peak5821	NDUFS7 (-19798), MUM1 (+7519)
peak5822	ATF1 (-246291), DIP2B (+12894)
peak5823	SLC39A10 (-245307)
peak5824	PLA2G4A (-128145), PTGS2 (-20381)
peak5825	PRR15 (-292677), CPVL (-75858)
peak5826	FOXQ1 (-570318), EXOC2 (-49011)
peak5827	PRSS3 (-152916), NOL6 (-123671)
peak5828	KMT2E (+22446), SRPK2 (+352269)
peak5829	PENK (-487378), IMPAD1 (+60436)
peak5830	UBP1 (+48609), FBXL2 (+114347)
peak5831	ISCA1 (-55186), ZCCHC6 (+16697)
peak5832	ZNF316 (+557)
peak5833	SAMD15 (-4525), TMED8 (+4501)
peak5834	CENPO (-69781), NCOA1 (+231432)
peak5835	PTGS2 (-133253), PLA2G4A (-15273)
peak5836	APOA1 (-202045), SIK3 (+58426)
peak5837	DUSP10 (+302649), HLX (+560127)
peak5838	ASXL1 (-24557), KIF3B (+56131)
peak5839	IL12A (-68707), SCHIP1 (+80182)
peak5840	LRRC4 (+156682), SND1 (+222208)
peak5841	APOA1 (-117918), SIK3 (+142553)
peak5842	GTF2A1 (-47132), STON2 (+159350)
peak5843	NEGR1 (-2023)
peak5844	TRIB2 (-161863), LPIN1 (+877431)
peak5845	NUP54 (-50155), SCARB2 (+15248)
peak5846	DAB2 (-852237), PTGER4 (-402091)
peak5847	CARMIL1 (-327526), RIPOR2 (-15850)
peak5848	MDM1 (-151779), RAP1B (-126728)
peak5849	FBXO5 (+8889), VIP (+223331)
peak5850	FAM133B (-138916), CDK6 (+104607)
peak5851	CHST3 (+10361), SPOCK2 (+114047)
peak5852	ADORA2B (-113569), TBC1D26 (+99071)
peak5853	AFF3 (-32010), LONRF2 (+184595)
peak5854	HELZ (-11160), PSMD12 (+110284)
peak5855	TLE4 (+187060)
peak5856	FER1L6 (+220025), TMEM65 (+300680)
peak5857	STARD13 (-381540), RFC3 (-150754)
peak5858	STAT1 (+49754), GLS (+83669)
peak5859	OTULIN (-519846), TRIO (+1200)
peak5860	EPC1 (-542778), ITGB1 (+67931)
peak5861	SELENBP1 (-13861), PSMB4 (-12970)
peak5862	NFE2L2 (+12927), HNRNPA3 (+39641)
peak5863	ATP2B4 (-11319), OPTC (+121099)
peak5864	PRDM1 (-594546), PREP (-88690)
peak5865	UTS2 (-87443), TNFRSF9 (+2291)
peak5866	TTC30A (-165594), PDE11A (+288195)
