# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
peak0	Hint3 (-37397)
peak10974	Irf4 (+20248)
peak10975	Cttn (+1787)
peak10976	Kcnk5 (+26658)
peak10977	AI314180 (+24048)
peak10978	4931406P16Rik (-8672)
peak10979	Pik3ca (+1290)
peak10980	Tmem252 (-57996)
peak10981	Glud1 (+13087)
peak10982	Adgra3 (-87417)
peak10983	Fmnl2 (+149555)
peak10984	Tnrc6b (+51508)
peak10985	Tmem126b (-154716)
peak10986	D130052B06Rik (+61428)
peak10987	4930430F08Rik (+46340)
peak10988	Stard6 (-80668)
peak10989	Gab2 (-39427)
peak10990	Nampt (-74347)
peak10991	Stxbp6 (+216475)
peak10992	Serp2 (+35947)
peak10993	Nos1ap (+50197)
peak10994	Tanc1 (+54756)
peak10995	Runx1 (+135245)
peak10996	Tgfbr3 (+76062)
peak10997	Glipr2 (+3188)
peak10998	Otud7b (-2161)
peak10999	Ptpre (+43496)
peak11000	Creb3l1 (-41607)
peak11001	Ssbp2 (+23437)
peak11002	Gpcpd1 (-7792)
peak11003	Tnik (+184829)
peak11004	Dysf (-10903)
peak11005	Pinx1 (+39332)
peak11006	Anxa2 (+13892)
peak11007	Nr2c2 (+9986)
peak11008	Ccnb2 (+18071)
peak11009	Mfsd6 (+17496)
peak11010	Gm8225 (-7267)
peak11011	Inpp5a (-29030)
peak11012	Tmem50a (-3438)
peak11013	Il15 (+377059)
peak11014	Tnfrsf11a (+83570)
peak11015	Vma21 (-4413)
peak11016	Inpp5a (+51634)
peak11017	Tdrp (-39034)
peak11018	Eef2kmt (-110138)
peak11019	Ets2 (+107224)
peak11020	Ndufs6 (+22601)
peak11021	Cyp24a1 (-6395)
peak11022	Hus1b (+33832)
peak11023	Zfp346 (+244)
peak11024	Parp2 (+16373)
peak11025	Inpp4b (+437062)
peak11026	Tmco5 (+97099)
peak11027	Prss12 (-2242)
peak11028	Mfsd2a (+5893)
peak11029	Pcgf5 (+1164)
peak11030	Uaca (+260289)
peak11031	Rab18 (-4986)
peak11032	Rgs2 (+47427)
peak11033	Zmynd11 (+198753)
peak11034	Agap1 (-115641)
peak11035	Lypd6b (-32439)
peak11036	Aamdc (+21538)
peak11037	Kcnk10 (+53178)
peak11038	E130114P18Rik (-43752)
peak11039	Efna5 (-265341)
peak11040	Fam159b (+105)
peak11041	Clrn3 (+19236)
peak11042	Otud4 (-26421)
peak11043	Rabep1 (+21873)
peak11044	Herc1 (+20512)
peak11045	Sms (+15864)
peak11046	Efr3a (-88325)
peak11047	Ebpl (-16036)
peak11048	Pde3a (-180728)
peak11049	Nfatc1 (-71428)
peak11050	Slc38a11 (-43398)
peak11051	Pde1a (+182887)
peak11052	Tnfaip8 (-105419)
peak11053	Mon2 (+65023)
peak11054	Smu1 (-38028)
peak11055	Rap2a (+92922)
peak11056	Runx1 (-80512)
peak11057	Kif14 (+53790)
peak11058	Cttn (-18175)
peak11059	Acsbg1 (-18386)
peak11060	Tet3 (+35625)
peak11061	Phospho1 (-23818)
peak11062	Gjb3 (+3397)
peak11063	Il7r (+1127)
peak11064	Aknad1 (+48660)
peak11065	Rasgef1b (-81247)
peak11066	Ube2e3 (+136026)
peak11067	Snx1 (+7786)
peak11068	Nrf1 (+66213)
peak11069	Nars (-26827)
peak11070	Ctdp1 (-8575)
peak11071	Zfp366 (-84198)
peak11072	Bmf (+27178)
peak11073	Mllt10 (+158971)
peak11074	Mif (-12813)
peak11075	Atp2b4 (-40516)
peak11076	Tbrg1 (+834)
peak11077	Afg3l1 (+1125)
peak11078	Ddit4 (+33546)
peak11079	Elmsan1 (-27345)
peak11080	Wbp1l (+21581)
peak11081	Ppp1r16b (+1096)
peak11082	Creb1 (-637)
peak11083	Il6st (-24437)
peak11084	Dyrk1a (+78078)
peak11085	Dll1 (-4788)
peak11086	Lnx1 (-18528)
peak11087	Atp1a1 (-45812)
peak11088	Ezr (+33485)
peak11089	Jakmip1 (+155)
peak11090	Pla2g2d (-6917)
peak11091	Vps13d (-16315)
peak11092	Fhl2 (-4872)
peak11093	Ttc28 (+190308)
peak11094	4930563M21Rik (-6730)
peak11095	Adgrl2 (-282100)
peak11096	Ptk7 (+19596)
peak11097	Fmo9 (-106335)
peak11098	Gm1587 (-26425)
peak11099	Tex35 (-123970)
peak11100	Alpk2 (+186195)
peak11101	Vps13c (+65448)
peak11102	Dennd2a (+41981)
peak11103	Zdhhc18 (+7754)
peak11104	Rcn1 (+389)
peak11105	Isg15 (-2384)
peak11106	Kbtbd11 (+8045)
peak11107	Rab7b (+14923)
peak11108	Itgax (-38)
peak11109	Znrf2 (+50061)
peak11110	Gata3 (+760957)
peak11111	Lpin2 (+1442)
peak11112	Scyl3 (-26185)
peak11113	Trim45 (-16545)
peak11114	Spdl1 (+6470)
peak11115	Ptgr1 (+21288)
peak11116	Ube2e1 (-22288)
peak11117	Lpcat1 (-26044)
peak11118	Ms4a4c (+4027)
peak11119	Pik3r5 (+33203)
peak11120	Fam78b (+69019)
peak11121	Prelid2 (+197955)
peak11122	Trappc6b (+21382)
peak11123	Kcnrg (+289532)
peak11124	Odf2 (+899)
peak11125	Apoa1 (-79064)
peak11126	Arhgap26 (+92012)
peak11127	Kit (-188585)
peak11128	Galnt2 (+44597)
peak11129	Spdye4c (-190791)
peak11130	Irf4 (+46962)
peak11131	Klf12 (-311890)
peak11132	Fgfbp1 (+31890)
peak11133	Xrra1 (+48686)
peak11134	Trnp1 (-3107)
peak11135	Cflar (+10744)
peak11136	Sash3 (-9418)
peak11137	Lss (+11234)
peak11138	Kcna4 (+147542)
peak11139	Dab2 (+24945)
peak11140	Ebag9 (-10936)
peak11141	Fam129a (-18765)
peak11142	Nfat5 (-38093)
peak11143	Sgip1 (+92584)
peak11144	D5Ertd579e (+20326)
peak11145	Vti1a (+145884)
peak11146	Erp44 (+36928)
peak11147	Rrm2b (-43935)
peak11148	Tbx4 (+146750)
peak11149	Hprt (-16916)
peak11150	Dnah11 (+127425)
peak11151	Msl2 (+22987)
peak11152	Coro1c (+1598)
peak11153	Mex3c (-218)
peak11154	Cds2 (+850)
peak11155	Cd101 (+18803)
peak11156	Mkx (+3175)
peak11157	Arl5a (-25092)
peak11158	Btc (+124218)
peak11159	Fli1 (-40434)
peak11160	Acot7 (+36684)
peak11161	Ankrd45 (-2190)
peak11162	Ankrd9 (+39508)
peak11163	Wisp1 (-13343)
peak11164	Edc3 (+358)
peak11165	Kcmf1 (+16887)
peak11166	Trak1 (+22423)
peak11167	Gpr19 (-6138)
peak11168	1600014C23Rik (-147005)
peak11169	P2ry2 (-41217)
peak11170	Nhlrc2 (+40212)
peak11171	Ckap2 (+244)
peak11172	Sgip1 (-243261)
peak11173	Creb1 (-4966)
peak11174	Inpp4b (+425836)
peak11175	Spin1 (+1098)
peak11176	Itpkb (+33776)
peak11177	Lcor (-27184)
peak11178	Wdr59 (+9514)
peak11179	Dtx2 (+13215)
peak11180	Fam220a (+31245)
peak11181	Kif23 (-16672)
peak11182	Snx9 (-36815)
peak11183	Tmsb10 (-32156)
peak11184	Hs2st1 (+168726)
peak11185	Serpinb9 (-9884)
peak11186	Rps3a1 (-26511)
peak11187	Arrdc4 (+95444)
peak11188	Nfe2l3 (-131811)
peak11189	Spata4 (-71)
peak11190	Nnt (+50151)
peak11191	Ppp2r3a (+7792)
peak11192	Itgb8 (-54)
peak11193	Lrrc8c (+27428)
peak11194	Syt7 (+14197)
peak11195	Dcbld2 (-21887)
peak11196	Gm9920 (-61866)
peak11197	Rapgef4 (+45492)
peak11198	Elmo1 (+93487)
peak11199	Fam102a (-22780)
peak11200	Nphp3 (-384)
peak11201	Fance (-22791)
peak11202	Gramd4 (+36833)
peak11203	Magi3 (-38453)
peak11204	Mgat5 (+175974)
peak11205	Pdcd2 (-9248)
peak11206	Rmdn2 (-49618)
peak11207	Grik1 (+147005)
peak11208	Timp4 (-31706)
peak11209	Cobll1 (-46899)
peak11210	D330045A20Rik (+5417)
peak11211	Hint3 (-42720)
peak11212	Nampt (-121407)
peak11213	Ankrd13c (-8683)
peak11214	Phc3 (+35783)
peak11215	Ehbp1l1 (+1627)
peak11216	Ccnd3 (+3089)
peak11217	Pld6 (+222)
peak11218	Bicd2 (+10724)
peak11219	Marf1 (+46855)
peak11220	Fbxo39 (+6521)
peak11221	Il4ra (-8514)
peak11222	Ndufb6 (-20746)
peak11223	Gm8225 (+8562)
peak11224	Cog4 (+13061)
peak11225	Efna1 (-86)
peak11226	Gramd1a (-13806)
peak11227	Tm9sf3 (-504)
peak11228	Nupr1 (-4435)
peak11229	Zfp516 (-85261)
peak11230	3110062M04Rik (+1643)
peak11231	Bcor (-6989)
peak11232	Ndfip1 (+31759)
peak11233	Ahr (-9596)
peak11234	Dio2 (-43198)
peak11235	Plekhm3 (+23629)
peak11236	Med27 (+101399)
peak11237	Fam98a (+46783)
peak11238	Birc3 (-41649)
peak11239	Cep76 (+20010)
peak11240	Ctsh (+28845)
peak11241	1600014C23Rik (-19046)
peak11242	Atg5 (+56921)
peak11243	Rasl11b (+131558)
peak11244	Ascl2 (+1735)
peak11245	Atp5o (-30976)
peak11246	Cct5 (+16412)
peak11247	Ap2a2 (+18162)
peak11248	Chst11 (+130954)
peak11249	Napg (-4937)
peak11250	Ccdc80 (-4958)
peak11251	Trhr2 (+11154)
peak11252	Tecpr1 (+747)
peak11253	Ankrd55 (+745)
peak11254	Gab2 (+100459)
peak11255	Utrn (-19522)
peak11256	Ednrb (+5032)
peak11257	Susd6 (+19666)
peak11258	Klf10 (-37279)
peak11259	Nuak2 (+12389)
peak11260	A430078G23Rik (-16004)
peak11261	Aox2 (+37363)
peak11262	Tns4 (-26827)
peak11263	Zfp810 (-39020)
peak11264	Enthd1 (+16156)
peak11265	Jmjd7 (-23317)
peak11266	C1qtnf9 (-41861)
peak11267	Pmvk (-3187)
peak11268	Ncf1 (-7441)
peak11269	Fam193a (-5104)
peak11270	Manba (+93829)
peak11271	Olfr521 (+31978)
peak11272	Med13 (-31679)
peak11273	Lamtor3 (+307)
peak11274	Cxcr6 (+12381)
peak11275	Ccdc71l (+52608)
peak11276	Gyg (+22082)
peak11277	Tnrc6b (+37519)
peak11278	Brf1 (-4499)
peak11279	Pik3cg (-45)
peak11280	Rcc1l (+7318)
peak11281	Xbp1 (+1012)
peak11282	Rnf180 (-19936)
peak11283	Osbpl8 (+49175)
peak11284	Otud5 (+17583)
peak11285	Arhgap5 (-120936)
peak11286	Suv39h1 (+4966)
peak11287	Cbx5 (+18117)
peak11288	Chd7 (+133361)
peak11289	Pja2 (+11112)
peak11290	Havcr2 (+19475)
peak11291	Fam102b (+16522)
peak11292	Nfic (-5885)
peak11293	Prep (-62708)
peak11294	Eps8l3 (-30923)
peak11295	Haao (-88680)
peak11296	Rnf152 (-85788)
peak11297	Elf2 (-18735)
peak11298	Tcp11l1 (+24644)
peak11299	Wfs1 (+33478)
peak11300	Foxi1 (+7932)
peak11301	Slc17a8 (+4769)
peak11302	Afap1l2 (-47794)
peak11303	Rac1 (+9613)
peak11304	Otulin (+5229)
peak11305	Klrg1 (-9027)
peak11306	Sept5 (-66690)
peak11307	Gfra2 (+111181)
peak11308	Btg1 (+99613)
peak11309	Btg1 (-149942)
peak11310	Clip4 (+400754)
peak11311	Sik3 (+20414)
peak11312	Bbs9 (+9013)
peak11313	Clnk (-173827)
peak11314	Etf1 (+15793)
peak11315	Bicra (+1735)
peak11316	Gcnt2 (+57845)
peak11317	Prkar2b (+43103)
peak11318	Ccnd2 (-113061)
peak11319	Ky (-3503)
peak11320	Cmip (+105620)
peak11321	Cobll1 (-44489)
peak11322	Capn12 (+25969)
peak11323	Bbs9 (+8247)
peak11324	Anxa2 (-13681)
peak11325	Batf3 (+4719)
peak11326	Gnptab (+39117)
peak11327	Rtn4 (-47249)
peak11328	Tmsb10 (+1607)
peak11329	Bcor (-78299)
peak11330	Tax1bp1 (+100741)
peak11331	Tsg101 (+3425)
peak11332	Col14a1 (-31601)
peak11333	Eif2a (-41556)
peak11334	Prpf38a (+14147)
peak11335	Hebp2 (+124)
peak11336	Abi1 (+33583)
peak11337	Iqsec2 (+28453)
peak11338	Abi2 (+76115)
peak11339	Capn3 (-16895)
peak11340	Gm5407 (-197425)
peak11341	Pcolce2 (-13224)
peak11342	Gemin2 (+14213)
peak11343	Noxa1 (-269)
peak11344	Spred2 (+1141)
peak11345	Id2 (-116319)
peak11346	Grb7 (+42164)
peak11347	Dennd4c (-26070)
peak11348	Inf2 (+5224)
peak11349	Rorc (-3804)
peak11350	Fam210a (+180924)
peak11351	Med13l (+103486)
peak11352	Fam92b (-28702)
peak11353	Col9a2 (-10217)
peak11354	Chmp6 (-135754)
peak11355	Adar (-44598)
peak11356	Creb5 (+161535)
peak11357	Ston2 (+20695)
peak11358	Tax1bp1 (+100456)
peak11359	Rgs10 (+33897)
peak11360	Kdr (+165696)
peak11361	Leo1 (-15610)
peak11362	Itga9 (+63238)
peak11363	Cdh17 (+11316)
peak11364	Nsmce2 (+134799)
peak11365	Ube2e2 (+274356)
peak11366	Lims1 (-39499)
peak11367	Nfkbiz (+140362)
peak11368	Jun (-1218)
peak11369	Pdcd4 (-2445)
peak11370	1700029H14Rik (-38918)
peak11371	Adam12 (-4939)
peak11372	Lgr4 (+556)
peak11373	Tmpo (-18114)
peak11374	Hps6 (-1024)
peak11375	Mkln1 (-64443)
peak11376	Mea1 (+10479)
peak11377	Trub1 (+22619)
peak11378	Cadm3 (-51352)
peak11379	Pgs1 (+13728)
peak11380	Rnf114 (-6746)
peak11381	Nrn1 (-74282)
peak11382	Ddx59 (+20641)
peak11383	Agap1 (-166268)
peak11384	Rnf152 (-97599)
peak11385	Wdr7 (+179968)
peak11386	Usp47 (-119300)
peak11387	Rab3c (+498537)
peak11388	Plekhg1 (+105541)
peak11389	4930447A16Rik (-42509)
peak11390	Crhbp (+17143)
peak11391	Cdk17 (-21986)
peak11392	Pcdh1 (+65424)
peak11393	Tspan31 (+1771)
peak11394	Bysl (+11317)
peak11395	Fadd (+752)
peak11396	Chmp1b (-2438)
peak11397	Kcnma1 (-91874)
peak11398	Cerkl (+57948)
peak11399	Ldlr (-7993)
peak11400	Tnfrsf26 (+6815)
peak11401	Ppcdc (+12014)
peak11402	Nrf1 (+114168)
peak11403	Birc3 (+4860)
peak11404	Trappc6b (+6012)
peak11405	Ptprc (-5088)
peak11406	Atp10a (-89277)
peak11407	Mrvi1 (-32029)
peak11408	Oxa1l (+25355)
peak11409	Rnf2 (+12272)
peak11410	Rag1 (+1182)
peak11411	Ccl26 (-264)
peak11412	Rab21 (-13220)
peak11413	Gramd3 (+21)
peak11414	Bin1 (-65269)
peak11415	Dscam (+268849)
peak11416	Serpine1 (+10252)
peak11417	Eml1 (+30792)
peak11418	Lnx2 (+25760)
peak11419	Ldlrap1 (-5298)
peak11420	Srcin1 (-61)
peak11421	Map3k1 (-58923)
peak11422	Timm8a2 (+31806)
peak11423	Slc39a10 (+76087)
peak11424	Osbpl11 (-41741)
peak11425	Zc3h12c (-42335)
peak11426	Gpat3 (+15911)
peak11427	Nek5 (-18918)
peak11428	Sall3 (-667017)
peak11429	Insm1 (+9391)
peak11430	Cep57l1 (+43137)
peak11431	Mterf1b (-29658)
peak11432	Rassf10 (+99086)
peak11433	Aldh3a2 (-11728)
peak11434	Il6st (-16709)
peak11435	Kmt2e (-39980)
peak11436	Lpcat1 (+21890)
peak11437	Pkd2l2 (+31804)
peak11438	Nipal4 (+50675)
peak11439	Nudt18 (-7528)
peak11440	Abtb2 (+89915)
peak11441	Nmnat2 (+56932)
peak11442	Lhfpl2 (+96804)
peak11443	Gas7 (-23235)
peak11444	Tcf12 (+11747)
peak11445	Smad7 (+11246)
peak11446	Arhgef10l (-10252)
peak11447	H2afy (-15966)
peak11448	Agtr1a (-77081)
peak11449	Cblb (+59562)
peak11450	Cytip (-13305)
peak11451	Serinc3 (+2111)
peak11452	Arhgap8 (-5083)
peak11453	Klhdc4 (+40629)
peak11454	Cxcr4 (-178693)
peak11455	Nampt (-123293)
peak11456	Rgs3 (+155751)
peak11457	Rnh1 (+3613)
peak11458	Fem1a (+9292)
peak11459	Irf8 (-19897)
peak11460	Gde1 (+8422)
peak11461	Adgrl2 (+21400)
peak11462	Klf12 (-158458)
peak11463	Raf1 (+9760)
peak11464	Gbp3 (+27096)
peak11465	Pign (-45889)
peak11466	Phf11a (+1602)
peak11467	Fbxw11 (-35381)
peak11468	Pik3ap1 (-13039)
peak11469	Tspan32 (-9846)
peak11470	Pten (+112059)
peak11471	Fat1 (+2694)
peak11472	Opa1 (+196800)
peak11473	Trps1 (+488447)
peak11474	Kcnrg (+150201)
peak11475	Rnf19b (+1034)
peak11476	Pgls (-5006)
peak11477	Mical3 (+14643)
peak11478	Ccnd3 (+10571)
peak11479	Zeb2 (+67883)
peak11480	Cdc42 (-14138)
peak11481	Cog6 (+185124)
peak11482	Prdm9 (-14211)
peak11483	Tpd52 (-29503)
peak11484	Btbd9 (+222420)
peak11485	Tnrc6a (+33131)
peak11486	Uaca (+129364)
peak11487	Kif14 (+25850)
peak11488	Fancf (+21376)
peak11489	Gm5426 (+220035)
peak11490	Ceacam16 (+5409)
peak11491	Tnfsf9 (+3523)
peak11492	Birc3 (+10018)
peak11493	Kpna2 (-12911)
peak11494	Rassf7 (+509)
peak11495	Rhoh (+21772)
peak11496	Zfyve9 (-1692)
peak11497	Stac3 (-20090)
peak11498	Clvs1 (-175126)
peak11499	Ehd2 (-36391)
peak11500	Mettl8 (+92528)
peak11501	Cpa5 (+7378)
peak11502	Ets1 (+13976)
peak11503	Pik3ca (-18268)
peak11504	Arid1b (+192627)
peak11505	Map4k1 (+42962)
peak11506	Atf6b (+8152)
peak11507	Prss39 (-17380)
peak11508	Zfp687 (-13621)
peak11509	Arid5a (-13125)
peak11510	Vps26b (+932)
peak11511	Zfp52 (-19480)
peak11512	Hsph1 (+12383)
peak11513	Scarf2 (-10392)
peak11514	Mppe1 (-9921)
peak11515	Csrp2 (-28698)
peak11516	Kcnj5 (+63622)
peak11517	Lmod1 (+11532)
peak11518	Nrd1 (+79136)
peak11519	Hunk (+49117)
peak11520	Rora (+369750)
peak11521	Ankrd33b (+17752)
peak11522	Plxdc1 (+50361)
peak11523	Tab2 (-179815)
peak11524	Ifih1 (+10697)
peak11525	Arhgap32 (-26061)
peak11526	Wdr41 (+30851)
peak11527	Me2 (-21052)
peak11528	Stk17b (+19732)
peak11529	Slain1 (+29292)
peak11530	Rap1b (+6883)
peak11531	Rrp12 (+1039)
peak11532	Adgrg7 (-3222)
peak11533	Gnl2 (+7662)
peak11534	Ppp2r5e (+22448)
peak11535	Unc50 (+27625)
peak11536	Cd200r3 (+67)
peak11537	Atg4c (-30164)
peak11538	Mrpl39 (+108475)
peak11539	Arid5a (+18455)
peak11540	Cyth4 (+13858)
peak11541	Zfp236 (-21504)
peak11542	Sema6c (+24450)
peak11543	Rab11fip4 (+22641)
peak11544	Ankrd35 (+9190)
peak11545	Gch1 (+81803)
peak11546	Kif3c (+6622)
peak11547	Ccdc162 (-14815)
peak11548	Itpr1 (+66344)
peak11549	Itgae (+8529)
peak11550	Tap1 (-494)
peak11551	Gm17018 (+16753)
peak11552	Scn1b (-46)
peak11553	Rbm43 (+2664)
peak11554	Pdcd4 (-20445)
peak11555	Arid5b (+974)
peak11556	Helb (-20621)
peak11557	Atp5l (+14923)
peak11558	Psmb7 (+27918)
peak11559	Arfgap2 (+37778)
peak11560	Tgif1 (+54300)
peak11561	Rpl10-ps3 (-18410)
peak11562	Fchsd2 (-37517)
peak11563	Srrm1 (+17796)
peak11564	Cenpa (+12898)
peak11565	Gadd45a (+49597)
peak11566	Aip (+4708)
peak11567	Kctd5 (-11743)
peak11568	Supt3 (-49213)
peak11569	Ice2 (-329658)
peak11570	Ehf (+87665)
peak11571	Ttc39c (+11909)
peak11572	Cux1 (+66503)
peak11573	Tmem25 (+9)
peak11574	Rcor1 (+28007)
peak11575	Degs1 (-19658)
peak11576	Plcb1 (+303512)
peak11577	Zfr (+17783)
peak11578	Fam53b (-11118)
peak11579	Tbxas1 (+87410)
peak11580	Mapkap1 (+153108)
peak11581	Rgs1 (-34010)
peak11582	Iqgap1 (-10207)
peak11583	Rlbp1 (+50216)
peak11584	Chic2 (+90492)
peak11585	Saraf (+35665)
peak11586	Esrp1 (-38844)
peak11587	Ermard (+26780)
peak11588	Arhgef3 (+61891)
peak11589	Dct (+422001)
peak11590	Muc1 (-1509)
peak11591	Rmi2 (+40634)
peak11592	Slc7a5 (+9416)
peak11593	Drap1 (-7342)
peak11594	Plekha5 (+54970)
peak11595	Ehf (-28306)
peak11596	Nfatc2 (+65255)
peak11597	Med13l (+52573)
peak11598	Srgap3 (+21756)
peak11599	Spats2 (+202)
peak11600	Osbpl8 (-37178)
peak11601	Ly6e (-19694)
peak11602	Rufy1 (-999)
peak11603	Agfg1 (-7380)
peak11604	Mex3c (-26469)
peak11605	Efhc1 (+57407)
peak11606	Nhlrc3 (+20230)
peak11607	Hectd2 (-75288)
peak11608	Syt8 (-19550)
peak11609	M6pr (-10889)
peak11610	Id2 (-92211)
peak11611	Virma (+6811)
peak11612	Cpn2 (+89511)
peak11613	Ino80c (+5067)
peak11614	Elmo1 (+43279)
peak11615	Mbd2 (+33739)
peak11616	Ctla2b (+1853)
peak11617	Bmp10 (+7003)
peak11618	Arl5b (+48007)
peak11619	Gpat3 (+26040)
peak11620	B3galt2 (-406617)
peak11621	Ttc37 (+20254)
peak11622	Zmynd11 (+14345)
peak11623	Hpf1 (+11813)
peak11624	2410004P03Rik (-29260)
peak11625	Tmem131l (+98471)
peak11626	Mapk1 (-11616)
peak11627	Traf5 (+30676)
peak11628	Mgll (-297)
peak11629	Ripk2 (+50917)
peak11630	Cep120 (-58040)
peak11631	Zfp9 (-330)
peak11632	Plcl2 (+61275)
peak11633	Il1rl1 (+5328)
peak11634	Shisa5 (+602)
peak11635	Ccnb2 (+38824)
peak11636	Egln3 (-79898)
peak11637	2010107G23Rik (+5990)
peak11638	Ltbp2 (+24962)
peak11639	Nfic (-6986)
peak11640	Vcpkmt (+43483)
peak11641	Nmi (+819)
peak11642	Gpr55 (-25162)
peak11643	Dock2 (+12023)
peak11644	Sel1l (+5064)
peak11645	4930523C07Rik (+4394)
peak11646	Ets2 (+39830)
peak11647	Garnl3 (-14624)
peak11648	Cxxc5 (+44749)
peak11649	Arid5a (+18221)
peak11650	Gpr83 (+7073)
peak11651	Plekhg4 (+15694)
peak11652	Atg13 (+27507)
peak11653	Asb16 (+7888)
peak11654	Eva1b (-16013)
peak11655	Taf3 (+58908)
peak11656	Zfp704 (+109130)
peak11657	Nckap5 (+8062)
peak11658	Pxdc1 (+10387)
peak11659	Copb1 (+22752)
peak11660	Peak1 (+25004)
peak11661	Dtwd2 (-28897)
peak11662	Ube2e2 (-70295)
peak11663	Lyrm1 (+24749)
peak11664	Thsd7b (+318941)
peak11665	Rps6ka5 (+19778)
peak11666	Slc17a8 (+43389)
peak11667	Arhgef28 (+73018)
peak11668	Tbl1xr1 (-178231)
peak11669	Aspn (+11813)
peak11670	Akap10 (+14680)
peak11671	Rabgap1l (+282764)
peak11672	Nfe2l1 (+479)
peak11673	A4galt (-44474)
peak11674	Slc18a2 (-12555)
peak11675	Sesn1 (+16771)
peak11676	Med13l (+99132)
peak11677	Sbno1 (+13806)
peak11678	Ankrd36 (+4428)
peak11679	Il1r2 (-61765)
peak11680	Mapre2 (+1823)
peak11681	Egr3 (-19811)
peak11682	Fam69c (+7015)
peak11683	Srebf1 (+45189)
peak11684	Rnf157 (+33256)
peak11685	Zfp36l2 (+38863)
peak11686	Ewsr1 (-768)
peak11687	Nudcd3 (+19354)
peak11688	2900026A02Rik (-19177)
peak11689	Mex3c (-25446)
peak11690	Fgf1 (-31331)
peak11691	Ccdc54 (-164899)
peak11692	1110059E24Rik (+47473)
peak11693	Irs2 (+418898)
peak11694	Tbc1d14 (-32707)
peak11695	Ipo5 (-596)
peak11696	Slco5a1 (+678)
peak11697	Ubl7 (-528)
peak11698	Rrm1 (-53400)
peak11699	Arhgef37 (+54731)
peak11700	Tox (-209594)
peak11701	Sypl (+687)
peak11702	Umad1 (+29745)
peak11703	Ankrd12 (+28033)
peak11704	Spin1 (+30541)
peak11705	Mipep (+101246)
peak11706	E2f7 (-289492)
peak11707	Itga1 (-5704)
peak11708	Pggt1b (+9813)
peak11709	Cyp2c55 (-33148)
peak11710	Slc22a21 (+23491)
peak11711	Sord (-8970)
peak11712	Magi3 (-78867)
peak11713	Chmp6 (-124695)
peak11714	Kit (+58531)
peak11715	Flrt3 (-46)
peak11716	Cdadc1 (+42829)
peak11717	Lypd3 (+10052)
peak11718	Itgav (+20133)
peak11719	Nfatc2 (-4627)
peak11720	Chpf2 (+4677)
peak11721	Eif4g2 (-73892)
peak11722	Klf4 (-554)
peak11723	Mrpl45 (-6146)
peak11724	Snx29 (+251981)
peak11725	Dhrs3 (+87130)
peak11726	Clint1 (+31699)
peak11727	Angptl2 (-42730)
peak11728	Lamc1 (+72830)
peak11729	Tbc1d8b (-31517)
peak11730	Impdh1 (+5611)
peak11731	Prr3 (-19247)
peak11732	Lrfn4 (-346)
peak11733	Cubn (+81863)
peak11734	Cyp11a1 (-1953)
peak11735	Sema4b (+17708)
peak11736	Kctd10 (+601)
peak11737	Ank1 (+63778)
peak11738	Lexm (+3464)
peak11739	Rnf19b (+9967)
peak11740	Igfbp7 (+40181)
peak11741	Dpy19l1 (+73312)
peak11742	Tango6 (+55024)
peak11743	Senp6 (-9650)
peak11744	Olfr12 (+10118)
peak11745	Ube2k (+20051)
peak11746	Exoc6b (-5706)
peak11747	Hspbap1 (+13152)
peak11748	Slc2a8 (-36144)
peak11749	Arl5b (+93410)
peak11750	Cadm3 (-44386)
peak11751	Ets1 (+124547)
peak11752	Maml3 (+139044)
peak11753	Itpr2 (+130152)
peak11754	Zfp957 (+157616)
peak11755	Igsf5 (-24258)
peak11756	Ptgs1 (+48535)
peak11757	Cdh15 (+81094)
peak11758	Rufy1 (-1987)
peak11759	Sema4d (+25239)
peak11760	Zfp36 (-2010)
peak11761	Arhgef1 (+4439)
peak11762	Rad51ap1 (+295)
peak11763	Myl12b (+3865)
peak11764	Lcp1 (+40498)
peak11765	Gm45837 (+11977)
peak11766	Armc9 (-7051)
peak11767	Fdft1 (+11547)
peak11768	Scel (+54828)
peak11769	Chd8 (+11288)
peak11770	Tbc1d22a (+131675)
peak11771	Cxcr4 (-23304)
peak11772	Tprg (-224943)
peak11773	Cebpd (+103538)
peak11774	Slc35d1 (-34884)
peak11775	Mocs2 (-83025)
peak11776	Zfp827 (+51753)
peak11777	Zfp827 (-19216)
peak11778	Lrmda (+353349)
peak11779	Dmc1 (+27926)
peak11780	Mapt (+104804)
peak11781	Tlk1 (-32009)
peak11782	Cdkl1 (-34417)
peak11783	Sdcbp (+7484)
peak11784	Gata3 (+113997)
peak11785	Olfr157 (+5213)
peak11786	B4galt5 (+30012)
peak11787	Iqgap1 (+49560)
peak11788	Bcar1 (-4232)
peak11789	Cd5 (-24590)
peak11790	Prf1 (+8659)
peak11791	Gpr3 (+26410)
peak11792	Eef1akmt3 (+75)
peak11793	Cog6 (+176850)
peak11794	Mapk11 (-628)
peak11795	Rgs10 (+73067)
peak11796	Lta (+668)
peak11797	Tox (+30616)
peak11798	Taf4 (+39466)
peak11799	Marveld3 (+4844)
peak11800	Gtf2h2 (-1057)
peak11801	Fbxl16 (-5760)
peak11802	Cerkl (+56932)
peak11803	Tnik (+883)
peak11804	Nr3c1 (-32724)
peak11805	Dtnb (-290)
peak11806	Colq (-20248)
